gene99	GO:0045197 GO:0004674 GO:0007229 GO:0001658 GO:0007160 GO:0004713 GO:0005524 GO:0005925 GO:0005515 GO:0009966 GO:0007475 GO:0016203 GO:0008284 GO:0006468
gene100	GO:0006596
gene101	GO:0002433 GO:0006915 GO:0035071 GO:0004872 GO:0016020
gene102	GO:0005488
gene103	GO:0000165 GO:0007298 GO:0016318 GO:0008083 GO:0045741 GO:0005154
gene104	GO:0006540 GO:0030424 GO:0004351 GO:0030672 GO:0007268 GO:0005515 GO:0048471 GO:0031225 GO:0005886
gene105	GO:0046872 GO:0016491 GO:0009055 GO:0016020
gene106	GO:0045254 GO:0004739 GO:0043231 GO:0055114 GO:0006096
gene107	GO:0055114 GO:0004602 GO:0006979
gene108	GO:0005085 GO:0046872 GO:0007242 GO:0043231 GO:0044444 GO:0016020
gene109	GO:0007275
gene110	GO:0042632 GO:0006468 GO:0045787 GO:0004679
gene111	GO:0006730 GO:0004013 GO:0005488
gene112	GO:0005811 GO:0006635 GO:0005739
gene113	GO:0003899 GO:0030528 GO:0008270 GO:0006383 GO:0045449 GO:0003677 GO:0005666 GO:0005737
gene114	GO:0009887 GO:0008361 GO:0005515 GO:0003700 GO:0042127 GO:0042384 GO:0005654 GO:0008015 GO:0000083 GO:0002064 GO:0006884
gene115	GO:0007018 GO:0043234 GO:0005525 GO:0051258 GO:0005198 GO:0003924 GO:0005874
gene116	GO:0007186 GO:0016021 GO:0004872
gene117	GO:0065008 GO:0005918 GO:0007420 GO:0007409 GO:0007154
gene118	GO:0005488 GO:0009117 GO:0044248 GO:0003824
gene119	GO:0000022 GO:0003735 GO:0022625 GO:0008270 GO:0006412 GO:0019843
gene120	GO:0044464
gene121	GO:0008233
gene122	GO:0005887 GO:0004175 GO:0007219 GO:0005515 GO:0016485 GO:0043085
gene123	GO:0015031
gene124	GO:0030528 GO:0006357 GO:0003677 GO:0045893 GO:0005634
gene125	GO:0001666 GO:0016321 GO:0007498 GO:0032837 GO:0004674 GO:0007100 GO:0043060 GO:0007094 GO:0005524 GO:0000705 GO:0006096 GO:0004332 GO:0006468
gene126	GO:0003735 GO:0042254 GO:0022625 GO:0006412
gene127	GO:0008152 GO:0016491 GO:0005488
gene128	GO:0007018 GO:0043234 GO:0005525 GO:0051258 GO:0005198 GO:0003924 GO:0005874
gene129	GO:0044238 GO:0034960 GO:0035267 GO:0005515 GO:0016514 GO:0003682 GO:0006338 GO:0005886
